********** Daily MYD08_D3.051 product **********
Selected Application: latlonplot 
Aerosol Optical Depth at 550 nm [unitless] (Optical_Depth_Land_And_Ocean_Mean)
Selected time period: 01Jan2012
Fill value:  -9999.0
User selected area:  (Lat: 90.0S - 90.0N) (Lon: 180.0W - 180.0E)
Actual output area:  (Lat: 89.5S - 89.5N) (Lon: 179.5W - 179.5E)
latitude     longitude      Optical_Depth_Land_And_Ocean_Mean
(degrees)    (degrees)      [unitless]
-89.500     -179.500    -9.99900e+03
-89.500     -178.500    -9.99900e+03
-89.500     -177.500    -9.99900e+03
-89.500     -176.500    -9.99900e+03
-89.500     -175.500    -9.99900e+03
-89.500     -174.500    -9.99900e+03
-89.500     -173.500    -9.99900e+03
-89.500     -172.500    -9.99900e+03
-89.500     -171.500    -9.99900e+03
-89.500     -170.500    -9.99900e+03
-89.500     -169.500    -9.99900e+03
-89.500     -168.500    -9.99900e+03
-89.500     -167.500    -9.99900e+03
-89.500     -166.500    -9.99900e+03
-89.500     -165.500    -9.99900e+03
-89.500     -164.500    -9.99900e+03
-89.500     -163.500    -9.99900e+03
-89.500     -162.500    -9.99900e+03
-89.500     -161.500    -9.99900e+03
-89.500     -160.500    -9.99900e+03
-89.500     -159.500    -9.99900e+03
-89.500     -158.500    -9.99900e+03
-89.500     -157.500    -9.99900e+03
-89.500     -156.500    -9.99900e+03
-89.500     -155.500    -9.99900e+03
-89.500     -154.500    -9.99900e+03
-89.500     -153.500    -9.99900e+03
-89.500     -152.500    -9.99900e+03
-89.500     -151.500    -9.99900e+03
-89.500     -150.500    -9.99900e+03
-89.500     -149.500    -9.99900e+03
-89.500     -148.500    -9.99900e+03
-89.500     -147.500    -9.99900e+03
-89.500     -146.500    -9.99900e+03
-89.500     -145.500    -9.99900e+03
-89.500     -144.500    -9.99900e+03
-89.500     -143.500    -9.99900e+03
-89.500     -142.500    -9.99900e+03
-89.500     -141.500    -9.99900e+03
-89.500     -140.500    -9.99900e+03
-89.500     -139.500    -9.99900e+03
-89.500     -138.500    -9.99900e+03
-89.500     -137.500    -9.99900e+03
-89.500     -136.500    -9.99900e+03
