"date"	"aot500"	"pm10"
"1"	"2012-01-01"	0.1031415	23
"2"	"2012-01-01"	0.107501	20
"3"	"2012-01-01"	0.101548	26
"4"	"2012-01-01"	0.134341	27
"5"	"2012-01-01"	0.129189	10
"6"	"2012-01-01"	0.0940405	9
"7"	"2012-01-01"	0.090817	19
"8"	"2012-01-01"	0.103016	21
"9"	"2012-01-03"	0.134744	26
"10"	"2012-01-03"	0.145323	26
"11"	"2012-01-03"	0.1208575	24
"12"	"2012-01-03"	0.120541	24
"13"	"2012-01-03"	0.133758	28
"14"	"2012-01-03"	0.126816	26
"15"	"2012-01-03"	0.1108293333	23
"16"	"2012-01-03"	0.132116	29
"17"	"2012-01-04"	0.09486375	26
"18"	"2012-01-04"	0.101705875	29
"19"	"2012-01-04"	0.093789	18
"20"	"2012-01-04"	0.08448225	22
"21"	"2012-01-04"	0.08210275	14
"22"	"2012-01-04"	0.0788556667	23
"23"	"2012-01-04"	0.0734116667	15
"24"	"2012-01-04"	0.070266	13
"25"	"2012-01-04"	0.087401	20
"26"	"2012-01-04"	0.084274375	18
"27"	"2012-01-05"	0.114081	34
"28"	"2012-01-05"	0.0707435	9
"29"	"2012-01-05"	0.054163	8
"30"	"2012-01-05"	0.059623	17
"31"	"2012-01-05"	0.0650728	15
"32"	"2012-01-06"	0.07021225	24
"33"	"2012-01-06"	0.070199625	27
"34"	"2012-01-06"	0.0681514	18
"35"	"2012-01-06"	0.06292575	14
"36"	"2012-01-06"	0.0670456	18
"37"	"2012-01-06"	0.0685356667	21
"38"	"2012-01-06"	0.0660505	14
"39"	"2012-01-06"	0.0586916	16
"40"	"2012-01-06"	0.062115	18
"41"	"2012-01-06"	0.066013	18
"42"	"2012-01-07"	0.0643726	16
"43"	"2012-01-07"	0.053707625	15
"44"	"2012-01-07"	0.05651725	6
"45"	"2012-01-07"	0.11098	18
"46"	"2012-01-07"	0.087429	15
"47"	"2012-01-08"	0.122277	11
"48"	"2012-01-08"	0.080856	9
"49"	"2012-01-08"	0.0669705	15
"50"	"2012-01-08"	0.081485	17
"51"	"2012-01-08"	0.072341	13
"52"	"2012-01-08"	0.08114	15
"53"	"2012-01-09"	0.0583325	29
"54"	"2012-01-09"	0.07292125	26
"55"	"2012-01-09"	0.0678165	16
"56"	"2012-01-09"	0.089122	16
"57"	"2012-01-09"	0.107452	17
"58"	"2012-01-10"	0.045485	22
"59"	"2012-01-10"	0.0549914286	23
"60"	"2012-01-10"	0.061997	12
"61"	"2012-01-10"	0.0614455	10
"62"	"2012-01-11"	0.0968753333	23
"63"	"2012-01-12"	0.05011075	59
"64"	"2012-01-12"	0.054234875	29
"65"	"2012-01-12"	0.054269	9
"66"	"2012-01-12"	0.055877	14
"67"	"2012-01-12"	0.068805	13
"68"	"2012-01-12"	0.06094	14
"69"	"2012-01-12"	0.0709703333	17
"70"	"2012-01-12"	0.066594	15
"71"	"2012-01-13"	0.114716	26
"72"	"2012-01-13"	0.095613	18
"73"	"2012-01-13"	0.0832655	16
"74"	"2012-01-13"	0.09872	17
"75"	"2012-01-13"	0.074532	28
"76"	"2012-01-13"	0.09913	21
"77"	"2012-01-13"	0.0883355	28
"78"	"2012-01-14"	0.100376	26
"79"	"2012-01-14"	0.1060065	30
"80"	"2012-01-14"	0.091894	21
"81"	"2012-01-14"	0.1047885	21
"82"	"2012-01-14"	0.062888	16
"83"	"2012-01-14"	0.066768	17
"84"	"2012-01-16"	0.0642978	20
"85"	"2012-01-16"	0.0757994286	28
"86"	"2012-01-16"	0.0829195	21
"87"	"2012-01-16"	0.067862	17
"88"	"2012-01-16"	0.064566	21
"89"	"2012-01-16"	0.080789	14
"90"	"2012-01-16"	0.0977705	19
"91"	"2012-01-16"	0.0623895	18
"92"	"2012-01-18"	0.046484	26
"93"	"2012-01-18"	0.046260875	24
"94"	"2012-01-18"	0.045006	11
"95"	"2012-01-18"	0.0638725	13
"96"	"2012-01-18"	0.075947	10
"97"	"2012-01-18"	0.0560772	7
"98"	"2012-01-18"	0.0643258333	24
"99"	"2012-01-18"	0.0786349	21
"100"	"2012-01-19"	0.06760225	85
"101"	"2012-01-19"	0.0674868889	85
"102"	"2012-01-19"	0.0789266667	22
"103"	"2012-01-19"	0.0688685	30
"104"	"2012-01-19"	0.059604	17
"105"	"2012-01-19"	0.0771895	15
"106"	"2012-01-19"	0.0750825	18
"107"	"2012-01-19"	0.07156275	20
"108"	"2012-01-19"	0.064972	6
"109"	"2012-01-19"	0.0832071	19
"110"	"2012-01-20"	0.080478	48
"111"	"2012-01-20"	0.0777682857	35
"112"	"2012-01-20"	0.0736865	17
"113"	"2012-01-20"	0.067067	18
"114"	"2012-01-20"	0.086183	19
"115"	"2012-01-20"	0.081624	20
"116"	"2012-01-20"	0.0825826667	21
"117"	"2012-01-20"	0.0782544	22
"118"	"2012-01-20"	0.0826583333	20
"119"	"2012-01-20"	0.0890458	22
"120"	"2012-01-20"	0.099781	34
"121"	"2012-01-21"	0.0789565	24
"122"	"2012-01-21"	0.078269625	30
"123"	"2012-01-21"	0.072253	16
"124"	"2012-01-21"	0.0702856	10
"125"	"2012-01-21"	0.070915	12
"126"	"2012-01-21"	0.0701415	14
"127"	"2012-01-21"	0.0692	13
"128"	"2012-01-21"	0.06600575	14
"129"	"2012-01-21"	0.0494051429	16
